user,comment date,review content
ReubenL99,13 Mar 2024,Probably one of the best looking movies I've seen since blade runner 2049. Watching this in IMAX was an absolute experience. Too bad the elderly couple that left halfway didn't agree
dazy030,10 Mar 2024,an absolute masterpiece
Carson Hilton,13 Mar 2024,"One of the single most creative movies I’ve seen. The sense of scale, the set design, Hans Zimmer’s score, the shots, the acting, everything was so cohesive to give such a specific “otherworldy” feel, somehow even more so than Part One. "
Julia Rachel,09 Mar 2024,Incredible. Amazing. Mind blowing. Heartbroken I have wait a whole century before the next one comes out.
blackice83,13 Mar 2024,This review may contain spoilers. I can handle the truth.
tmoej,13 Mar 2024,i also had a similar experience where i did too many drugs and i thought i was the messiah.
lexi3103,13 Mar 2024,Just a masterpiece
inops98,10 Mar 2024,absolute cinema
Coreyoc,13 Mar 2024,One of the most impressive feats this film manages to achieve is to capture you within the environment. I was there. I don’t think I can say that for many films. I feel this comes down to the attention to detail and precision with which everything is carried out. You can really feel the passion and care that went into the film. It wasn’t a rushed process and everything from the VFX to sound to acting is done with love. Roll on number three!
alissmrn,13 Mar 2024,"great soundtrack. meh fight scenes. i love timothee but the acting when he’s trying to be intimidating just doesnt work for me, especially when he stomped his foot."
Giselle,12 Mar 2024,Nahhhhh read the book y’all
peachtree,13 Mar 2024,took me ages to figure out that it was austin butler with his eyebrows missing
Chris Alley,13 Mar 2024,"Excellent, can’t help but feel like the last 40 mins was a bit rushed though"
kaspernls,13 Mar 2024,extremely confusing and drastically changing scenario at all time. However AMAZING visuals and good acting
jenan,13 Mar 2024,"hot- even 3 hours felt not long enough; i want to be immersed in this world forever, hot- lea seydoux, hot - austin butler is a fun villain, hot- stilgar drinking that tear from jessica’s face, hot"
n ✩ ⋆.✶*･ﾟ,13 Mar 2024,"the visuals the scores the editing costume design the character design the sound design the shots the lighting the colors. i love it. love is such an understatement though. the visuals have CONSUMED me i am a changed woman. i really really like the way they can make everything looks ominous. i like how giant and massive things actually looks giant and massive and dreadful, always looming over me. i like how they are able to make it look like…"
ashley,13 Mar 2024,"woah again!not only was this even better the second time around, i also got to watch it while sitting 3 rows behind david dobrik and my personal lisan al gaib, noah beck. who knew they were dune heads just like me? was also very fun to watch with jonny and getting to see his reactions to everything that was so majorbut anyways i guess i promised a real review this time… but honestly i am just so in…"
assaultedmeats,13 Mar 2024,"whenever i thought it was going to end, it KEPT GOING in a good way"
FoolishOne39,13 Mar 2024,How is man leaving Zendaya? Bro go crazy
annakearney,13 Mar 2024,still thinking about this
dinah,13 Mar 2024,"austin butler, the future of cinema"
Beterave,13 Mar 2024,Attention au curarçao interdit...
AlexAtTheMovies,12 Mar 2024,No one: 
Ella McKee,13 Mar 2024,How do they get off the worms ???
lisan al gaib!!!!,11 Mar 2024,me when I threw and caught a hula hoop in my mouth 3 times in a row: 🙌🏾LISAN AL GAIB!!!! 🙌🏾
carbondated,13 Mar 2024,"Well there’s chocolate, and there’s space spice, only one turns you into a messiah that leads the people to paradise."
Patrick L,12 Mar 2024,"Teil 2 von Dune ist ein Beispiel für einen großartigen Film, bei dem auf viel Licht leider auch eine Menge Schatten trifft. "
Bear,13 Mar 2024,"It somehow improves upon on the magic and spectacle of the first one; it feels like the parts and lore of the first movie are moving in a natural and captivating succession.The battle of prophecy & coincidence is such a strong and gripping through line, Paul’s savvy in seeing through this & his political action afterwards makes sense even if the pacing can seem odd the writing was on the walls."
isavenus,12 Mar 2024,"é o lisan al-gaib porra não tem jeito, FILME DO ANO"
Hikari,13 Mar 2024,"One of the best sequels ever made, well directed, stunning cinematography and also fun as hell!"
yo yo ny,13 Mar 2024,"Я вышел из зала и забыл свой телефон там ж, настолько меня этот фильм как-то поразил"
miri 🍀,13 Mar 2024,watching this having not seen the first one was wild
JamesIAm,12 Mar 2024,"A weird moment or two.But a fantastic cinematic spectacle, and brilliant storytelling"
Mattias,13 Mar 2024,maisaand sittgai aru aga mega voimas film ja muusika mega
JXF,13 Mar 2024,"If Fremen don't cry to preserve body fluids and recycle sweat for drinking water, do they thump just for reproduction? If pleasure, what do they do with their semen?"
Andrii Andriychuk,,"Theatrical. Spiritual. Archetypal. Still, predictable and somewhat boring."
Gregoose,10 Mar 2024,"On sait que Denis s’aime bien hein, et sur Arrakis, clairement ça mousse beaucoup. Alors oui c’est très joli, l’ambiance visuelle et sonore est vraiment prenante et réussie. Mais est-ce qu’on retient autre chose de cette adaptation qui franchement n’est pas aussi aboutie que tout le monde aime à dire ?"
Ginger3993,13 Mar 2024,Denis Villeneuve has provided us with a stunning spectacle.The frames 🔥🔥The score 🔥🔥The politics 🔥🔥Performance 🔥🔥
Lex,12 Mar 2024,kuntenserven
Sean_Young,13 Mar 2024,Every time Timothée Chalamet breathe: Lisan al Gailb!!!!!!!!!!!!!!
melistozann,13 Mar 2024,Midddd
pekasus,13 Mar 2024,"Great watch, has potential to be a classic but looking forward to the 3rd part!"
Ellie,11 Mar 2024,This review may contain spoilers. I can handle the truth.
samham,07 Mar 2024,"I planted my feat flat on the ground, this imax experience was utterly insane. It felt as if I was there, on that fuckEN WURM. I got a tease of that when I saw the re-release of the first movie last month in the post credits. It was so awesome. "
HotteokFist,07 Mar 2024,“모래바람 마저 느껴질 정도의 생생함과 눈으로 느끼는 압도감”
katedixon008,13 Mar 2024,I really can’t fault the gorg music and scenes ! The black and white scene was insane!! Timmy and Zendaya just give me no chemistry and all their scenes felt so cringe and unnatural to me sorryyy  also the film reminded me of avatar a lil bit dare i say
DanCrosby,13 Mar 2024,Can’t shake the feeling there’s sand in my sheets
Romanum,28 Feb 2024,"Saw this drunk, probably not the best idea ! Still blew my mind, should see it again sober"
audraw,13 Mar 2024,ANAKIN YOURE BREAKING MY HEART
Kaknaque,13 Mar 2024,"Une œuvre cinématographique magistrale, y’a tout, une direction artistique visionnaire (costumes, décors, lumière 10/10), et des performances remarquables Austin Butler flippant en Majin Buu, Souheila Yacoub qui nous sort une performance en parlant une langue inventée, c’est trop fort. Le film est vraiment immersif et captivant en explorant des thèmes comme le pouvoir et la religion avec subtilité et intelligence. Bref un chef-d'œuvre incontournable de la science-fiction moderne."
EllioDubs,13 Mar 2024,"Cinematic spectacle. Visually it’s amazing, and the pacing of the film is easy to flow with. However, my only gripe is that something is missing. I feel many people will get swept away with how great this movie looks or makes you feel, but the actual content is missing certain links to bring the story together."
Tomgamer,13 Mar 2024,I actually really liked this movie
Jakey🎬,13 Mar 2024,i am paul
tylersimon,12 Mar 2024,"Visual masterpieceSo many things going on in one frame, it’s a masterclassThe relationship can be a bit thin but ends on an enticing noteIt’s a good thing Butler put up a fight because the other Harkonnens went out like bitchesVery curious where this goes given the melange of religion, drugs, and nukes — and as of this movie the messaging would be that those things are a good mix?"
saint,12 Mar 2024,i hate bald people but austin butler always serves
wongkarwayed,10 Mar 2024,very bollywood core mid story but great cinematography <3
Newton M,09 Mar 2024,A behemoth of a film. This is going to linger in the back of my mind for the rest of my life. Denis Villeneuve is making sci-fi history and I am so here for it. This is possibly the most important sci-fi film franchise since Star Wars. Villeneuve has earned his place as one of the greatest directors of all time. Had to give this one a couple days to sit on till I wrote something about it.
peata,13 Mar 2024,crazy wonka vs elvis sword fight
Maven,13 Mar 2024,One star for removing Tim Blake Nelson
gil alysson,10 Mar 2024,"demorei pra escrever algo pq não parava de pensar em um milhão de coisas pra colocar aqui, quando, na verdade, não tem. simplesmente um dos maiores atos do cinema que vi recentemente, gigantesco em tudo que de propõe: desde a atuação até a fotografia e enredo, cinema puro!"
spencer blanchard,12 Mar 2024,Lead them to paradise ig :(
davidvihoang,13 Mar 2024,DAMN HOLY SHIT FUCK DAMN WHAT AN EXPERIENCE
Bails,13 Mar 2024,Wow. Just wow. 
redmaiden,13 Mar 2024,OH MY GOSH  she’s bald she’s bald and she’s torturing people who have hair
Aglarond,13 Mar 2024,"""This movie has accomplished something in me that no movie since The Lord of the Rings has done, ""CRYING EPICALLY."""
Rosemary,13 Mar 2024,"Iffy As A Book Adaptation At Parts But Overall An EXCELLENT Conclusion  Of The First And An Effective And Breathtaking Sci-Fi Epic That Will Be Heavily Influential In The Years To Come, Just Like The Novel Before It. Needed Just A Little More Camp To Make It A 5/5 For Me"
GoldenHand,,This review may contain spoilers. I can handle the truth.
Yssu,13 Mar 2024,Timothée cacahuète est mid dans le rôle dans sa façon de jouer le côté « obscur »
izaaktyrrell11,13 Mar 2024,A fucking masterpiece for sure
nabernaber,13 Mar 2024,Ömerle gideceğimiz ilk film olmasını asla beklemiyordum
Lord Snow,13 Mar 2024,Lisan Al Gaib
hodi miller,13 Mar 2024,FEAR THE MOMENT 
JonasPlesner,13 Mar 2024,Amazing visual and sensual experience. Beautiful images. Too bad the story is so basic and predictable 😒
sakee,13 Mar 2024,not amused
Elliot_PB,13 Mar 2024,Wowcha. Good stuff.
agriffel,13 Mar 2024,Your mothers warned you of my coming
nathaniel,13 Mar 2024,"absolutely blown away. coming into this film with almost no expectations, wondering how they could top the first one, to say i was surprised would be an understatement. Denis Villeneuve knocks it out of the park with this one. nothing could’ve prepared me for what was almost 3 hours of a stellar film that literally had me on the edge of my seat the entire time. the goat Hans Zimmer again with an amazing soundtrack, crazy fight scenes, and a gripping plot that had me hooked the entire time, this will be a film that will go down in history as the new sci fi classic."
thefilmexplorer,10 Mar 2024,"One of the most visually beautiful movies I have ever seen. The sound and music were fantastic they really tied it all together. The world building was incredibly well done I felt like I was transported to each location every time the scenes changed. My favourite part however has to be the costuming, it was detailed, distinct and clearly well made and tailored to each character. Their clothes did such a great job to communicate changes in the movie such as time, comfort and influence."
greggy43,13 Mar 2024,"Why did they try and be marvel funny, but besides that :)"
Adski2102,13 Mar 2024,Incredible cinema experience.
the80sdom,12 Mar 2024,3rd act went way too quickly but the final fight was excellent!
Jack,13 Mar 2024,I fear…. austin butler is a star
lunatictony,13 Mar 2024,I think the president should allow Dune to play in Imax indefinitely.
Sanpelis,13 Mar 2024,Catching a worm is like taking the underground
ayla resende,12 Mar 2024,muad'dib indica o caminho
SJP1012,13 Mar 2024,"That sand worm scene, god damn"
tonhoklos,13 Mar 2024,"A sua evolução em todos os aspectos, desde a narrativa até a parte técnica e visualpodemos destacada por conduzir a história de forma confiante e filosófica, levantando questões sobre idolatria, poder e destino. O filme consegue manter o espectador envolvido. Em resumo, ""Duna: Parte 2"" é aclamado como um triunfo cinematográfico que cativa com sua narrativa envolvente, performances marcantes e uma atmosfera visualmente deslumbrante é definitivamente um filme que vale a pena assistir e contemplar"
santoshjk4,13 Mar 2024,Palazzo IMAX 11am
Ethan Edeboy,13 Mar 2024,Better than the first movie for suuure. The last hour was absolutely incredible. So powerful. Hans Zimmer ate and left not a single crumb. Brilliant
JJaramayo,13 Mar 2024,Twink trying to be a top
Akshan,13 Mar 2024,ما هي الصورة المتحركة، وإخوانه
FINLAY137,09 Mar 2024,How do they get off the sandworm?
nasyir,10 Mar 2024,"An upgrade of the first part, visually stunning, astonishing sound, beautiful score, captivating third act, an Empire Strikes Back it is."
linguinee,13 Mar 2024,Christopher walken…dune…his…thing
Ruby Davis,13 Mar 2024,Would u still love me if I was a sandworm
Nader,13 Mar 2024,"Oppenheimer rewatch count, I’m coming for you."
Ron Spanjer,13 Mar 2024,Saw Dune: Part Two yesterday. Fantastic film which perfectly shows that sometimes you have to become what you hate to protect what you love. It manages to show the descend from regular people to religious zealots very convincingly. Amazing blend of (visual) storytelling and sound.
SirBanceALot,13 Mar 2024,Great film just suffers from being too long.
CJNW,13 Mar 2024,"Watched it in the iMax, it was cool. Lots of vibration."
shruthiaiyar,13 Mar 2024,the scale of this movie had my jaw on the floor for more than two hours. completely insane in every way possible. sandworm scene and every scene with a crowd of people were incredible beyond the realm of my imagination
Arminn007,13 Mar 2024,Super film foarte cinematic si povestea e wow. Timofei Chamlet se potriveste f bine rolului si minse pare ca personajele sunt bine alese. Universu e foarte tare si-mi mentin ideea ca e un starbwars pe steroizi
isa_mreira,13 Mar 2024,AAAAA THIMOTHEEE CHALAMEEEET
JadepTan,13 Mar 2024,Loved this - so beautifully epic. This is what IMAX was made for. Even better than the first film
imzjohn,13 Mar 2024,"Recordando ahora la película es una segunda parte que se acerca mucho a la primera, es increíble lo que el genero de fantasia epica logra para un momento en especifico, como amo este genero. La politica es increible al igual que los personajes, veo MUCHAS cosas de dune que han sido el padre en muchas sagas, el mirar el futuro comi esquirlas con muchas posibilidades pero nunca preciso es algo de las esquirlas de adonalsium en el archivo, el falso…"
2wordsmf,13 Mar 2024,"Don’t blame him, i would fold for florence pugh too"
ikirotta,12 Mar 2024,"I've read the book, and even though I'm not that big a fan of it, this movie series let me down. I think if they planned to adapt the first book in 2 movies they should've taken more artistic freedom with the plot, or just done it in 3 movies so that they could've followed the plot of the book in more detail."
Biodome2077,12 Mar 2024,This review may contain spoilers. I can handle the truth.
GizShi,12 Mar 2024,“Timothée Chalamet... you're breaking my heart! You're going down a path I can't follow!”-Padmé
carsonax,13 Mar 2024,Austin Butler was bald as shit holyyy
celina,12 Mar 2024,okay genuinely one of the coolest films I’ve seen in theaters
avaz1246,13 Mar 2024,told my roommates i had to go see this again so we did. my takeaway is that you actually have to see this movie in imax because it is completely different when you don’t. GO SEE IT IN IMAX
Ant,12 Mar 2024,- amazing- sound was incredible
V,13 Mar 2024,This is Cinema
Cesar,12 Mar 2024,Finally got the best seat in the theater! Long live the fighters!!
prestonbell420,13 Mar 2024,Monumental piece of filmmaking. Beyond grateful to experience this in my lifetime. Love wins.
Ryan,13 Mar 2024,GODDAMN! that was a movie
bia,05 Mar 2024,I fell asleep from how boring
vivianr28,13 Mar 2024,He’s bald and he’s torturing people who have hair
ian,13 Mar 2024,não tem como expressar em palavras a satisfação que eu senti quando sai do cinema.
careless_sailor,13 Mar 2024,WORM WORM WORM
priscilla,13 Mar 2024,"Paul Atreides, Son of Leto Atreides, DUKE OF ARRAKIS really just be like “So don't try to run your mouth at the king. Just pucker up bitch and go kiss the ring” 🫳"
saharula,13 Mar 2024,Had a great time!!! Would give 4.5 but the Arab thing is ultimately weird 😔
Cez,10 Mar 2024,"Mhmm yeah alright, but how do they dismount the worms?"
kalea_fetrow,12 Mar 2024,it feels like i just watched 3 movies in one. those are the best 3 movies i’ve ever seen in my life.
itsTafe,12 Mar 2024,Paul drank worm cum and gained a crazy amount of aura 
j_yoo,13 Mar 2024,I haven’t even watched the first one but one thing I know for sure is that this is one of the top two movies out rn and it’s not number two
Fidel Reyes,12 Mar 2024,"My partner wanted to rewatch it for the first time so I tagged along for my fourth round. Fuck, what a great film. Dolby Atmos may be my favorite screen format, GORGEOUS. As Nicole Kidman said, ""sound that I can feel."""
Lududu29,13 Mar 2024,c'était un bon film de sf ça m'a replongée en enfance un peu d'avoir un univers aussi développéJme suis pas ennuyée malgré les 2h45
holly C,13 Mar 2024,slaparoni and cheese
intergalacticap,13 Mar 2024,I MUST NOT FEARFEAR IS THE MIND KILLER
KC,13 Mar 2024,If you didn't like the first film that much definitely give this one a shot.
luisgacov,13 Mar 2024,"These type of science fiction films don't speak to me. Maybe I'm too old now. The characters are closer to be 2D cartoons than human beings. But that's only my smart ass opinion haha. The movie is enjoyable and visually is truly impressive. Well, 190 million dollars well spent."
colinorjames,13 Mar 2024,"I watched Dune 1 and 2 back to back today and I'll be honest I have no idea wtf was going on. If you asked me to tell you the plot I'd be like ""people talk in a whispered voice and there's sand""Not a fan but 2 was alot better than 1 if that helps because shit actually happens. I just wish people acted like people in these movies instead of saying all their lines super softly, give us…"
Rhys,13 Mar 2024,This review may contain spoilers. I can handle the truth.
Yanis Ay,08 Mar 2024,"This is one of those times where the sequel smashes the first. Definitely reading the books, just watch the movie and yeah LISAN AL GAIB "
Episkey_1,04 Mar 2024,That's why boys mum should not get power.
Mot96,03 Mar 2024,"A typical Villeneuve Movie. And thats a big compliment. Villeneuve has retained everything that made the first part so special. The action scenes are rare, but when they happen, they are epic, technically implemented at the highest level and thrilling.What once again sets Villeneuve's film apart from other blockbusters is the visual story telling. I don't need everything explained. Villeneuve certainly trusts his viewers to draw the necessary conclusions from what they see.The acting is outstanding, let's exclude…"
satanztiddies,13 Mar 2024,austin butler creaming his pants
TBWC_Nick,12 Mar 2024,"Oh, Dune Part Two. Hardly any other film makes it so difficult for me to love it. Especially when you sit in the cinema and see this audiovisual masterpiece on the biggest screen possible, you just want to love it. But then there are these small but subtle problems that make it difficult for me to call this film adaptation a masterpiece. The OV does solve some problems that I still had with the German synchro. But the point remains…"
molly,13 Mar 2024,born to be mouse girl forced to enact a holy war that will leave billions dead
Jalconf,13 Mar 2024,Una de mis pelis favoritas desde ya
Ian,12 Mar 2024,How do the groups get on DaWorm
HamishDog,13 Mar 2024,oh man
Simone Cavallo,13 Mar 2024,"Perfetto, semplicemente perfetto."
Lance,13 Mar 2024,Am I missing something?
Anthony_Esteban,13 Mar 2024,"The craze about his movie just doesn't compute with me. It's dumb, long, and boring. I love Villeneuve's body of work, but his Dune doesn't move the needle for me. Of course it doesn't help that the source material is incredibly overrated to begin with."
francis_faye,13 Mar 2024,I have not had an experience watching a movie in the theatre's like this in a veryyyyy long time. That was absolutely incredible.
fluffypython,13 Mar 2024,What the frooks
matmanning,12 Mar 2024,"Second half of an incredible movie, amazing cast & set piece action. Big budget sci-fi done amazingly well. Sought out an IMAX in Hanoi while travelling, worth it. See it in IMAX⏳"
HandmadeMatt,13 Mar 2024,Seeing this in 4D and my seat literally moved when he kissed zendaya.
utkuugurluoglu,13 Mar 2024,"sinemada izlenmeyi net hakediyor. ilk partin soru isaretleri, pek anlasilamayan evreni ve olay orgusu bu partla cok daha iyi oturdu."
Nic Hall,13 Mar 2024,I know there is another film scheduled but i really hope Denis does what Nolan did when he alternated Batman movies with non-batman movies
AlexElSancho,13 Mar 2024,Excellent mais Nolan aurait trouvé des vrais Shai uluds et aurait fait peter une vraie nuke sur le gros lard pour un peu + de réalisme (c’est pas un concours Villeneuve masterclass tabarnak)
daggerwitch,12 Mar 2024,"A 3 hour lore-filled movie that builds off of the first movie. Stunning visuals, amazing worldbuilding, and a cast that makes you point and say 'I know that guy/girl!'"
Veena,09 Mar 2024,Perfection
guroseii,03 Mar 2024,FULL MOUTH KISSING YOUR UNCLE GO BACK FOR SECONDS YEAHAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
Victor Sauce,13 Mar 2024,"I don't know, maybe movies just get boring and feel like a waste of time once you start having an actually interesting life with adventures, wood chipping etc.. Forgot that it is sometimes worth going to theatres though, this is good but I just got angry because I just wanted to go tramping the whole time. once again, not sure why because this is about a big desert which is a boring place for a tramp but just trapped atm with a fractured shoulder and little timmy gets to run down sand dunes ooh la la la I'm the prophet. Whatever"
Gábor Nádai,12 Mar 2024,"Monumentális? Abszolút. Lenyűgöző a látvány szinte minden képkockán? Egyértelműen. Eposzi a történet? Nem lehetne jobban az. Benne van majdnem az összes jelenleg menő és nagyon szép ember (mégha a filmben nem is a szépségük az első, ami szembetűnik)? Szintén igen. "
DarthJager,12 Mar 2024,"Saw it in ScreenX this time, just to see how it’d be. And yup, it’s still the gimmick that almost delivers but never fully does. "
Ace789,13 Mar 2024,I’ll need some time to collect my views and articulate my thoughts about this film and I’ll edit this but until then.
Meischen_,13 Mar 2024,“Holy Mother!” Exactly! 
jackmacmovies,12 Mar 2024,"have seen it twice now, and after the first viewing i thought the pacing was a bit messy. with a second watch, the vision really came together and is well executed"
Lou Aquiler,13 Mar 2024,"Yeah dude, I mean…this rules. There’s so much dope stuff.  IMAX is a crazy experience."
Tonagi,13 Mar 2024,Stilgar may be the GOAT hypeman
Arlo37,13 Mar 2024,.
whe200,13 Mar 2024,Colossal! 
christina420,13 Mar 2024,Hot take: Star Wars did it better (I don’t care who did it first)
Josie Maye Hurtley,13 Mar 2024,This review may contain spoilers. I can handle the truth.
haekalf,08 Mar 2024,Watched this on IMAX. Truly great movie with the best visual and sound !!!
Hayden,13 Mar 2024,70mm imax of this has changed me. I am a different person.
"""RAYAN""",12 Mar 2024,Ótimo pra dormir 🤝
puimun,13 Mar 2024,actually goated. this is my star wars
Kino,10 Mar 2024,Damn
greg casti,13 Mar 2024,che finaccia dottor bavaro
aahtiss,09 Mar 2024,"everything from the pacing and scenes compared to the first movie was truly intriguing i found myself constantly curious of what would happen next the soundtrack was absolutely perfect for each of the scenes, truly captivating the intensity and eerie feeling in certain moments and the CAST was wonderful W movie. I didn't remember a thing from the first movie but this movie was so well made and immersive that you could enjoy it without much context from the first. Truly an amazing movie going experience cannot stress it enough"
Alexah,13 Mar 2024,We played the soundtrack otw home and pretended my Nissan was a sand worm. Messiah shit.  Anyways breakups are always rough.
Walwere,13 Mar 2024,This review may contain spoilers. I can handle the truth.
preston,13 Mar 2024,I’m actually so thirsty now
linse 🦆,13 Mar 2024,"this was truly an expirience in theaters I am so glad I catched it in the cinema.stunning visuals, intriguing character developements ... this whole world is just so interesting to me and this is coming from someone who is not a huge fan of the sci-fi genre at all!"
Aleksandre_L,13 Mar 2024,"It hardly seems worthwhile to discuss the visual aspects; every artificial intelligence manages better, and indeed, we had already seen painters and cinematographers creating better ocular works even before AI. If you still find your jaw dropping throughout, you're likely either very new to art and cinema or miraculously maintained an unblemished gaze—for which I envy you. Nonetheless, there's nothing particularly new or captivating here. Speaking of visuals, have you seen Mad Max? Though not a masterpiece, it outshines this…"
jawnstarks,13 Mar 2024,I’m liable to act up when I’m off the spice 🤪
CiantGock,13 Mar 2024,yeah its okayi like the worms👍
